Sirket_Adi,ESG_Kategorisi,Rapordaki_Iddia,Haber_Tarihi,Gerceklesen_Haber_Metni,Kaynak_URL
Tüpraş,Enerji Verimliliği,2025 yılında 112 adet enerji verimliliği projesi hayata geçirilmiş; 2.448 TJ enerji tasarrufu ve 142.940 ton CO2e emisyon azaltımı sağlanmıştır.,Bekleniyor,Bekleniyor,Bekleniyor
ASELSAN,Yenilenebilir Enerji,Niğde ve Şanlıurfa'da 2026 yılı sonunda devreye alınması planlanan 113 MWm kurulu güçte GES inşa edilecektir. Yıllık yaklaşık 185 milyon kWh elektrik üretimi öngörülmektedir.,Bekleniyor,Bekleniyor,Bekleniyor
Ford Otosan,Su Kullanımı,"Üretilen araç başına temiz su kullanımı 2024 yılında 2,99 m3/araç iken 2025 yılında 2,51 m3/araç olarak azaltılmıştır.",Bekleniyor,Bekleniyor,Bekleniyor
